year,date_start,date_end,heatwave days (ABOVE freezing all day),days,"subzero, snowy days",subzero days (BELOW freezing all day),days with snow on the ground
1964,"Tuesday, December 01, 1964","Wednesday, March 31, 1965",10,121,40,56,62
1965,"Monday, November 01, 1965","Thursday, March 31, 1966",33,151,28,41,40
1966,"Tuesday, November 01, 1966","Friday, March 31, 1967",35,151,33,51,63
1967,"Wednesday, November 01, 1967","Sunday, March 31, 1968",39,152,24,39,40
1968,"Friday, November 01, 1968","Monday, March 31, 1969",33,151,23,43,40
1969,"Saturday, November 01, 1969","Tuesday, March 31, 1970",24,151,36,52,63
1970,"Sunday, November 01, 1970","Wednesday, March 31, 1971",44,151,22,44,44
1971,"Monday, November 01, 1971","Friday, March 31, 1972",40,152,25,36,47
1972,"Wednesday, November 01, 1972","Saturday, March 31, 1973",54,151,16,38,29
1973,"Thursday, November 01, 1973","Sunday, March 31, 1974",53,150,29,42,45
1974,"Friday, November 01, 1974","Monday, March 31, 1975",33,150,14,36,35
1975,"Saturday, November 01, 1975","Wednesday, March 31, 1976",56,152,20,27,49
1976,"Monday, November 01, 1976","Thursday, March 31, 1977",30,151,42,68,51
1977,"Tuesday, November 01, 1977","Friday, March 31, 1978",28,151,71,75,98
1978,"Wednesday, November 01, 1978","Saturday, March 31, 1979",23,151,57,65,98
1979,"Thursday, November 01, 1979","Monday, March 31, 1980",34,152,40,49,54
1980,"Saturday, November 01, 1980","Tuesday, March 31, 1981",28,151,26,43,47
1981,"Sunday, November 01, 1981","Wednesday, March 31, 1982",27,151,44,57,63
1982,"Monday, November 01, 1982","Thursday, March 31, 1983",37,151,17,41,30
1983,"Tuesday, November 01, 1983","Saturday, March 31, 1984",26,152,53,61,76
1984,"Thursday, November 01, 1984","Sunday, March 31, 1985",22,151,48,56,59
1985,"Friday, November 01, 1985","Monday, March 31, 1986",32,151,30,52,47
1986,"Saturday, November 01, 1986","Tuesday, March 31, 1987",29,151,12,27,30
1987,"Sunday, November 01, 1987","Thursday, March 31, 1988",36,152,34,42,59
1988,"Tuesday, November 01, 1988","Friday, March 31, 1989",36,151,24,45,35
1989,"Wednesday, November 01, 1989","Saturday, March 31, 1990",37,151,26,36,48
1990,"Thursday, November 01, 1990","Sunday, March 31, 1991",36,151,19,42,31
1991,"Friday, November 01, 1991","Tuesday, March 31, 1992",35,152,12,27,36
1992,"Sunday, November 01, 1992","Wednesday, March 31, 1993",32,151,30,47,54
1993,"Monday, November 01, 1993","Thursday, March 31, 1994",37,151,39,52,59
1994,"Tuesday, November 01, 1994","Friday, March 31, 1995",49,151,21,34,41
1995,"Wednesday, November 01, 1995","Sunday, March 31, 1996",19,152,17,57,31
1996,"Friday, November 01, 1996","Monday, March 31, 1997",29,151,27,53,42
1997,"Saturday, November 01, 1997","Tuesday, March 31, 1998",50,151,20,30,39
1998,"Sunday, November 01, 1998","Wednesday, March 31, 1999",48,151,19,31,38
1999,"Monday, November 01, 1999","Friday, March 31, 2000",51,152,24,35,35
2000,"Wednesday, November 01, 2000","Saturday, March 31, 2001",14,151,47,65,70
2001,"Thursday, November 01, 2001","Sunday, March 31, 2002",56,151,11,26,29
2002,"Friday, November 01, 2002","Monday, March 31, 2003",32,151,20,59,33
2003,"Saturday, November 01, 2003","Wednesday, March 31, 2004",41,152,31,45,45
2004,"Monday, November 01, 2004","Thursday, March 31, 2005",42,151,17,35,45
2005,"Tuesday, November 01, 2005","Friday, March 31, 2006",39,151,20,30,42
2006,"Wednesday, November 01, 2006","Saturday, March 31, 2007",49,150,38,43,53
2007,"Thursday, November 01, 2007","Monday, March 31, 2008",27,152,40,51,76
2008,"Saturday, November 01, 2008","Tuesday, March 31, 2009",33,151,46,60,63
2009,"Sunday, November 01, 2009","Wednesday, March 31, 2010",44,151,48,57,79
2010,"Monday, November 01, 2010","Thursday, March 31, 2011",25,151,53,64,71
2011,"Tuesday, November 01, 2011","Saturday, March 31, 2012",64,152,9,17,17
2012,"Thursday, November 01, 2012","Sunday, March 31, 2013",30,151,11,35,29
2013,"Friday, November 01, 2013","Sunday, February 02, 2014",17,94,33,43,46
